Year,State,County,Crop Fire Emissions,Crop Residue Emissions,Manure Fertilizer Emissions,Soil Emissions,Synthetic Fertilizer Emissions,Corn Yield
2021,WISCONSIN,TREMPEALEAU,-0.21665895902957177,-0.08450194184434752,-0.03351590268219173,0.09686594306057596,0.13520217606695045,0.036517482420035684
2021,MICHIGAN,SAGINAW,-0.19623028180905688,3.5458893006194567,1.8468647816207215,0.14289998602298418,0.39401452304576323,0.5156816395592729
2021,TENNESSEE,GILES,-0.17776432776465131,-0.4362988201339879,-0.20573271567307985,-0.13825730350872792,-0.14410402158771324,0.4992163054707585
2021,IOWA,VAN BUREN,-0.1315151076932459,-0.11760129134767561,-0.28846777243470845,-0.37483732275829645,-0.3613684113346335,0.20974649074272445
2021,KANSAS,RILEY,-0.1427928166353974,-0.654459477486106,-0.7053652585555268,-0.14758065387135674,-0.8720638382471264,0.11481964900389131
2021,CALIFORNIA,COLUSA,3.2190185250641616,0.9080761740822825,2.2444991962005525,0.925770076042747,2.1735627064858267,-0.10797257985050072
2021,ILLINOIS,FRANKLIN,-0.142728366809997,0.3695216943354495,-0.11334098363148667,-0.5106086151877269,-0.15555337930589475,0.672326822174631
2021,NORTH CAROLINA,CURRITUCK,-0.2181259344011021,-0.3183639669651176,-0.6040728987039822,-0.827893887933627,-0.8234221386698276,0.1965644109832439
2021,MINNESOTA,WATONWAN,-0.21621227584118158,0.44593787933764506,-0.02555505801641128,-0.46457457164588745,0.34351325075974537,1.3522228611070544
2021,ILLINOIS,GALLATIN,-0.1559894077653255,0.3872784766067472,0.4158444492734016,-0.6746413135724113,0.3669771677483969,0.9945015837210397
2021,WISCONSIN,OUTAGAMIE,-0.20909523198350718,-0.10398737384386765,-0.15974044864256604,-0.17467664156799836,0.05860233849738555,-0.13097182588913636
2021,KENTUCKY,EDMONSON,-0.21757269855656308,-0.9069320379407597,-0.8623313898627064,-0.7148482627754635,-1.0208050533962711,0.26375972060512015
2021,INDIANA,MADISON,-0.21389638210235434,0.6221256014151162,0.13409324169629167,-0.5245936410659565,0.27899290025844536,1.5527963972719672
2021,ARKANSAS,CONWAY,0.23525210065245766,-0.8222179498139494,-0.40053660201277275,-0.22158474889479737,-0.5643283956298685,-0.12526575615311134
2021,TENNESSEE,CANNON,-0.209239465954073,-0.8134616149322762,-0.7068208671903226,-0.798175708139247,-0.841028604525382,0.3636159549229478
2021,OHIO,PIKE,-0.15949413593324907,-0.7483188146476775,-0.7669229166846069,-0.4572907046119789,-0.8940194520580976,0.9761923673018597
2021,MISSOURI,PLATTE,-0.0798311691113722,0.06629936083666885,-0.2581606971281405,-0.5601389149316944,-0.39284495118201507,0.6045431913809014
2021,KENTUCKY,FRANKLIN,-0.20877820054900448,-0.9008282641691093,-0.7421384639894582,-0.93103345323214,-0.8834094636633621,0.12995767341644973
