Year,State,County,Crop Fire CO2,Crop Fire N2O,Crop Residue CO2,Crop Residue N2O,Manure Fertilizer CO2,Manure Fertilizer N2O,Rice CO2,Rice N2O,Soil CO2,Soil N2O,Synthetic Fertilizer CO2,Synthetic Fertilizer N2O,Corn Grain Harvested,Corn Silage Harvested,Corn Planted,Corn Grain Production,Corn Silage Production,Corn Grain Yield,Corn Silage Yield
2021,ALABAMA,BALDWIN,8564.807217461075,6.5160001725483605,4668.087060000001,17.09922,10456.16208,38.30096,575.8990585672859,0.0,59019.54718414474,29.1491807955674,45922.7769,168.21529999999998,7650.0,0.0,7800.0,1180000.0,0.0,154.2,0.0
2021,ALABAMA,BARBOUR,589.2835116008519,0.4483201706915184,1090.0070999999998,3.9927,4432.23144,16.235280000000003,525.7672326688,0.0,33297.90157583952,15.278790484393268,28706.698020000003,105.15274,2230.0,0.0,2300.0,422000.0,0.0,189.2,0.0
2021,ALABAMA,BLOUNT,296.5698848252269,0.2256200747732974,4114.03356,15.06972,5180.994,18.978,552.4593827887243,0.0,24484.589499483216,11.234789441819284,29192.38686,106.93182,1350.0,0.0,1400.0,206000.0,0.0,152.6,0.0
2021,ALABAMA,CALHOUN,0.0227745008872888,2.011098893808168e-05,698.5797,2.5589,1804.48632,6.60984,298.8043165553675,0.0,21651.33199980057,10.693382464591108,11389.65828,41.72036,1960.0,0.0,2000.0,314000.0,0.0,160.2,0.0
2021,ALABAMA,CHEROKEE,3.507334454644426e-05,1.1282998678470642e-07,1162.9527,4.2599,2349.95124,8.60788,225.7679468060676,0.0,22010.477310909177,10.099539471847164,16576.7784,60.7208,3870.0,0.0,4000.0,673000.0,0.0,173.9,0.0
2021,ALABAMA,CHILTON,4.16047443970857e-05,1.3384132084375666e-07,595.28196,2.18052,2796.1861200000003,10.24244,380.9816646457394,0.0,26109.29452039008,12.895126830522738,19408.394460000003,71.09302000000001,900.0,0.0,1000.0,136600.0,0.0,151.8,0.0
2021,ALABAMA,COLBERT,332.1756281719735,0.2527200905172098,4675.0431,17.1247,2942.13192,10.77704,405.7405624802197,0.0,22398.126230988284,11.062216877943316,23708.48844,86.84428000000001,20600.0,0.0,20900.0,3599000.0,0.0,174.7,0.0
2021,ALABAMA,COVINGTON,260.1496596473139,0.1979201188886726,1216.34058,4.45546,4344.15072,15.91264,350.77091425657625,0.0,38930.21228281255,19.22725351824412,36973.1271,135.4327,4000.0,0.0,4400.0,434000.0,0.0,108.5,0.0
2021,ALABAMA,CULLMAN,187.66035976506924,0.1427601289063253,16205.050679999998,59.35916,13224.163679999998,48.44016,390.26017039199206,0.0,28024.73621209742,13.84114486757647,51145.11948,187.34476,3270.0,0.0,3400.0,586000.0,0.0,179.2,0.0
2021,ALABAMA,DALE,3536.016856552951,2.690160049183261,1245.49152,4.56224,4929.1788,18.0556,367.92930905777206,0.0,20819.02697222484,10.282315099906503,33731.92368,123.56016,1850.0,0.0,1900.0,226000.0,0.0,122.2,0.0
2021,ALABAMA,DALLAS,1806.6413262728377,1.374480145090143,1411.01142,5.16854,3709.95534,13.58958,498.8449495560992,0.0,36957.76339627484,16.958123394573857,26418.21,96.77,6340.0,0.0,6500.0,975000.0,0.0,153.8,0.0
2021,ALABAMA,DE KALB,62.19880592164888,0.0473201492418395,14528.80884,53.219080000000005,12564.87414,46.025180000000006,346.591842537612,0.0,29113.57359686031,14.37891107046514,64757.31444,237.20628,13200.0,0.0,13700.0,2137000.0,0.0,161.9,0.0
2021,ALABAMA,ELMORE,77.71761350369499,0.0591201073673918,817.89708,2.99596,2988.43818,10.94666,407.63082039188686,0.0,23253.23413236825,11.484546360398902,23627.62038,86.54806,2900.0,0.0,3000.0,428000.0,0.0,147.6,0.0
2021,ALABAMA,FAYETTE,3.764411806815907e-05,1.2110009464674554e-07,508.06938,1.86106,847.06986,3.10282,178.5474968028958,0.0,23623.780889536,10.839806161308646,6101.004,22.348,1440.0,0.0,1500.0,181900.0,0.0,126.3,0.0
2021,ALABAMA,HENRY,4280.784738241078,3.256760057463895,1277.9403,4.6811,5108.1849,18.7113,195.4812086954848,0.0,20841.829856639597,10.293577222917923,41690.22312,152.71144,3670.0,0.0,3800.0,605000.0,0.0,164.9,0.0
2021,ALABAMA,JACKSON,52.6611617323492,0.0400601967675026,15442.20132,56.56484,7684.58964,28.14868,475.9403486948576,0.0,41700.7618670335,20.595601033374425,43272.411,158.507,23900.0,0.0,24400.0,3740000.0,0.0,156.5,0.0
2021,ALABAMA,LAUDERDALE,376.3674895678054,0.2863400954080678,7227.003420000001,26.47254,3979.70118,14.577659999999998,393.48720633849496,0.0,25465.11322568184,11.684704177240192,29554.8435,108.2595,25600.0,0.0,26200.0,4511000.0,0.0,176.2,0.0
2021,ALABAMA,LAWRENCE,814.75562506434,0.6198600764645824,11275.2822,41.3014,6618.48096,24.24352,272.2665774134264,0.0,26251.81249838166,12.965515074846838,50679.43608,185.63896,31600.0,0.0,31800.0,5835000.0,0.0,184.7,0.0
2021,ALABAMA,LIMESTONE,211.08182463151996,0.1606000778091193,8579.76756,31.42772,3514.07238,12.87206,351.69582100770634,0.0,20990.04855918693,9.631314257525316,25945.859939999995,95.03978,26400.0,0.0,27100.0,5095000.0,0.0,193.0,0.0
2021,ALABAMA,MADISON,433.1538832891866,0.3295400701713832,11631.86934,42.60758,4777.1451,17.4987,1024.114613776734,0.0,25237.08446147672,11.580072847702205,34859.18436,127.68932,30500.0,0.0,31300.0,5804000.0,0.0,190.3,0.0
2021,ALABAMA,MARION,1.785044368458163,0.0013601427543344,1204.90188,4.41356,1455.9362999999998,5.3331,328.8066444969855,0.0,27848.013905957523,13.753863437981472,9606.64068,35.189159999999994,2910.0,0.0,3000.0,348000.0,0.0,119.6,0.0
2021,ALABAMA,MARSHALL,429.1887811024913,0.3265200659815594,7996.8798,29.2926,6586.25058,24.12546,431.3638946642109,0.0,21605.72623911066,10.670858222588333,36526.0623,133.7951,6860.0,0.0,7000.0,1085000.0,0.0,158.2,0.0
2021,ALABAMA,MONROE,3426.874592132835,2.6071200914981048,572.208,2.096,2555.52024,9.36088,318.4541310213706,0.0,38730.68710461265,19.128709971739596,22736.16072,83.28264,2810.0,0.0,2900.0,539000.0,0.0,191.8,0.0
