Year,State,County,Crop Fire Emissions,Crop Residue Emissions,Manure Fertilizer Emissions,Soil Emissions,Synthetic Fertilizer Emissions,Corn Yield
2021,ALABAMA,BALDWIN,8564.807217461075,4668.087060000001,10456.16208,59019.54718414474,45922.7769,151.28205128205127
2021,ALABAMA,BARBOUR,589.2835116008519,1090.0070999999998,4432.23144,33297.90157583952,28706.698020000003,183.47826086956522
2021,ALABAMA,BLOUNT,296.5698848252269,4114.03356,5180.994,24484.589499483216,29192.38686,147.14285714285714
2021,ALABAMA,CALHOUN,0.0227745008872888,698.5797,1804.48632,21651.33199980057,11389.65828,157.0
2021,ALABAMA,CHEROKEE,3.507334454644426e-05,1162.9527,2349.95124,22010.477310909177,16576.7784,168.25
2021,ALABAMA,CHILTON,4.16047443970857e-05,595.28196,2796.1861200000003,26109.29452039008,19408.394460000003,136.6
2021,ALABAMA,COLBERT,332.1756281719735,4675.0431,2942.13192,22398.126230988284,23708.48844,172.20095693779905
2021,ALABAMA,COVINGTON,260.1496596473139,1216.34058,4344.15072,38930.21228281255,36973.1271,98.63636363636364
2021,ALABAMA,CULLMAN,187.66035976506924,16205.050679999998,13224.163679999998,28024.73621209742,51145.11948,172.35294117647058
2021,ALABAMA,DALE,3536.016856552951,1245.49152,4929.1788,20819.02697222484,33731.92368,118.94736842105263
2021,ALABAMA,DALLAS,1806.6413262728377,1411.01142,3709.95534,36957.76339627484,26418.21,150.0
2021,ALABAMA,DE KALB,62.19880592164888,14528.80884,12564.87414,29113.57359686031,64757.31444,155.98540145985402
2021,ALABAMA,ELMORE,77.71761350369499,817.89708,2988.43818,23253.23413236825,23627.62038,142.66666666666666
2021,ALABAMA,FAYETTE,3.764411806815907e-05,508.06938,847.06986,23623.780889536,6101.004,121.26666666666667
2021,ALABAMA,HENRY,4280.784738241078,1277.9403,5108.1849,20841.8298566396,41690.22312,159.21052631578948
2021,ALABAMA,JACKSON,52.6611617323492,15442.20132,7684.58964,41700.7618670335,43272.411,153.27868852459017
2021,ALABAMA,LAUDERDALE,376.3674895678054,7227.003420000001,3979.70118,25465.11322568184,29554.8435,172.17557251908397
2021,ALABAMA,LAWRENCE,814.75562506434,11275.2822,6618.48096,26251.81249838166,50679.43608,183.49056603773585
2021,ALABAMA,LIMESTONE,211.08182463152,8579.76756,3514.07238,20990.04855918693,25945.859939999995,188.00738007380073
2021,ALABAMA,MADISON,433.1538832891866,11631.86934,4777.1451,25237.08446147672,34859.18436,185.43130990415335
2021,ALABAMA,MARION,1.785044368458163,1204.90188,1455.9362999999998,27848.013905957523,9606.64068,116.0
2021,ALABAMA,MARSHALL,429.1887811024913,7996.8798,6586.25058,21605.72623911066,36526.0623,155.0
2021,ALABAMA,MONROE,3426.874592132835,572.208,2555.52024,38730.68710461265,22736.16072,185.86206896551724
2021,ALABAMA,PERRY,587.8719979947527,876.14982,1319.0268,27055.613914079902,8084.7039,148.0
2021,ALABAMA,RANDOLPH,3.45646402494622e-05,739.79724,3832.20474,21691.237029394004,24194.7615,135.0
2021,ALABAMA,TUSCALOOSA,7.71322892164681e-05,845.3772600000001,2866.0632,48404.80780181742,20620.7274,162.69230769230768
2021,ALABAMA,WALKER,4.776370000205363e-05,883.60818,798.9945600000001,29974.38222032507,3149.38806,124.57142857142857
2021,ALABAMA,WILCOX,29.31119341812319,402.25458,1384.40484,34210.0166765557,9676.79076,133.5
2021,ARKANSAS,ARKANSAS,19827.03192,70482.58308,38688.741,38531.16192815694,167737.30974,188.29313543599258
2021,ARKANSAS,ASHLEY,5066.772558556728,26698.75572,12060.74688,34626.169188890075,59805.81516,183.16455696202533
2021,ARKANSAS,CHICOT,10424.085601567454,53860.07172,24707.14974,24889.34057840388,118358.64222,176.0
2021,ARKANSAS,CONWAY,3388.3932796978006,1919.00982,4874.47506,21189.573731863533,23646.76314,139.73684210526315
2021,ARKANSAS,CRITTENDEN,20739.502740209897,44178.80922,17253.74742,22688.86291850399,83960.86608,183.60730593607306
2021,ARKANSAS,CROSS,36836.26464099473,46911.60474,21697.29744,23344.44563296305,95669.56308,189.34426229508196
2021,ARKANSAS,DESHA,11540.938861779849,48202.86744,20234.92926,29358.704522377942,96325.58754,179.21875
2021,ARKANSAS,DREW,4089.3059538932457,16336.03062,7008.2922,31165.83255886406,30847.1982,174.86033519553072
2021,ARKANSAS,JACKSON,42551.18814,46380.5706,23008.55466,24034.23267353552,113587.9836,178.83597883597884
2021,ARKANSAS,JEFFERSON,18424.00392008143,41454.01806,22351.77126,33035.66848711982,103592.07222,188.24480369515013
2021,ARKANSAS,JOHNSON,1011.774518967875,808.00902,1521.20514,25145.87294009688,6700.653960000001,134.76190476190476
2021,ARKANSAS,LAFAYETTE,2589.675549035328,1874.54904,8043.9177,20408.575183283418,35986.96374,146.44444444444446
